Runs,Games,Wins,Loss,W-L%
0,14,14,0,1
1,15,13,2,0.867
2,21,16,5,0.762
3,21,17,4,0.81
4,22,9,13,0.409
5,12,5,7,0.417
6,25,5,20,0.2
7,8,3,5,0.375
8,7,1,6,0.143
9,9,0,9,0
10,3,0,3,0
11,2,0,2,0
12,2,0,2,0
13,1,0,1,0
