Runs,Games,Wins,Loss,W-L%
0,9,9,0,1
1,11,10,1,0.909
2,15,13,2,0.867
3,25,15,10,0.6
4,19,12,7,0.632
5,17,3,14,0.176
6,15,2,13,0.133
7,15,3,12,0.2
8,8,3,5,0.375
9,8,0,8,0
10,8,2,6,0.25
11,7,0,7,0
12,2,0,2,0
13,1,0,1,0
16,1,0,1,0
26,1,0,1,0
