Runs,Games,Wins,Loss,W-L%
0,9,0,9,0
1,25,0,25,0
2,30,5,25,0.167
3,23,6,17,0.261
4,17,5,12,0.294
5,19,5,14,0.263
6,17,12,5,0.706
7,6,2,4,0.333
8,5,5,0,1
9,4,4,0,1
10,1,1,0,1
11,4,4,0,1
12,2,2,0,1
