Runs,Games,Wins,Loss,W-L%
0,12,0,12,0
1,16,2,14,0.125
2,24,5,19,0.208
3,14,4,10,0.286
4,20,10,10,0.5
5,27,11,16,0.407
6,16,8,8,0.5
7,16,10,6,0.625
8,8,5,3,0.625
9,3,3,0,1
10,1,0,1,0
11,1,1,0,1
12,1,1,0,1
13,1,1,0,1
16,2,2,0,1
