Runs,Games,Wins,Loss,W-L%
0,12,0,12,0
1,11,1,10,0.091
2,12,0,12,0
3,27,9,18,0.333
4,19,8,11,0.421
5,17,8,9,0.471
6,6,2,4,0.333
7,20,14,6,0.7
8,5,5,0,1
9,12,10,2,0.833
10,5,5,0,1
11,7,7,0,1
12,4,4,0,1
13,4,4,0,1
14,1,1,0,1
