Runs,Games,Wins,Loss,W-L%
0,3,0,3,0
1,15,2,13,0.133
2,18,6,12,0.333
3,35,12,23,0.343
4,16,7,9,0.438
5,17,13,4,0.765
6,16,13,3,0.813
7,12,11,1,0.917
8,9,7,2,0.778
9,9,8,1,0.889
10,2,2,0,1
11,2,2,0,1
12,1,1,0,1
13,3,3,0,1
14,1,1,0,1
15,1,1,0,1
16,1,1,0,1
17,1,1,0,1
