Runs,Games,Wins,Loss,W-L%
0,10,10,0,1
1,18,15,3,0.833
2,17,13,4,0.765
3,18,8,10,0.444
4,24,7,17,0.292
5,19,5,14,0.263
6,15,5,10,0.333
7,7,1,6,0.143
8,8,1,7,0.125
9,13,2,11,0.154
10,2,0,2,0
11,5,0,5,0
12,1,0,1,0
13,3,0,3,0
14,1,0,1,0
