Runs,Games,Wins,Loss,W-L%
0,6,0,6,0
1,9,0,9,0
2,16,2,14,0.125
3,21,5,16,0.238
4,26,8,18,0.308
5,17,6,11,0.353
6,13,7,6,0.538
7,23,13,10,0.565
8,11,10,1,0.909
9,6,5,1,0.833
10,6,4,2,0.667
11,3,3,0,1
13,4,4,0,1
14,1,1,0,1
