Runs,Games,Wins,Loss,W-L%
0,3,0,3,0
1,15,0,15,0
2,26,6,20,0.231
3,27,14,13,0.519
4,16,9,7,0.563
5,20,10,10,0.5
6,11,7,4,0.636
7,16,13,3,0.813
8,6,6,0,1
9,9,9,0,1
10,5,5,0,1
11,4,4,0,1
13,2,2,0,1
14,1,1,0,1
15,1,1,0,1
