Runs,Games,Wins,Loss,W-L%
0,5,0,5,0
1,16,0,16,0
2,16,3,13,0.188
3,22,5,17,0.227
4,22,8,14,0.364
5,20,12,8,0.6
6,13,7,6,0.538
7,10,7,3,0.7
8,14,9,5,0.643
9,7,5,2,0.714
10,5,5,0,1
11,6,6,0,1
12,2,2,0,1
13,1,1,0,1
15,1,0,1,0
17,2,2,0,1
