Runs,Games,Wins,Loss,W-L%
0,12,0,12,0
1,25,1,24,0.04
2,18,3,15,0.167
3,15,7,8,0.467
4,27,14,13,0.519
5,15,8,7,0.533
6,16,10,6,0.625
7,9,8,1,0.889
8,6,4,2,0.667
9,7,6,1,0.857
10,8,6,2,0.75
11,3,3,0,1
12,1,1,0,1
