Runs,Games,Wins,Loss,W-L%
0,2,2,0,1
1,14,14,0,1
2,20,18,2,0.9
3,13,5,8,0.385
4,23,8,15,0.348
5,19,7,12,0.368
6,15,7,8,0.467
7,7,2,5,0.286
8,13,3,10,0.231
9,10,1,9,0.1
10,9,1,8,0.111
11,7,0,7,0
13,4,0,4,0
14,1,0,1,0
15,3,0,3,0
16,2,0,2,0
