Runs,Games,Wins,Loss,W-L%
0,11,11,0,1
1,10,8,2,0.8
2,14,11,3,0.786
3,15,9,6,0.6
4,26,13,13,0.5
5,21,8,13,0.381
6,20,5,15,0.25
7,13,1,12,0.077
8,6,1,5,0.167
9,8,0,8,0
10,5,0,5,0
11,9,0,9,0
14,1,0,1,0
18,1,0,1,0
19,1,0,1,0
