Runs,Games,Wins,Loss,W-L%
0,3,0,3,0
1,19,4,15,0.211
2,21,5,16,0.238
3,18,7,11,0.389
4,18,6,12,0.333
5,25,18,7,0.72
6,13,9,4,0.692
7,13,11,2,0.846
8,6,6,0,1
9,7,7,0,1
10,10,10,0,1
11,4,4,0,1
12,1,1,0,1
13,2,2,0,1
14,1,1,0,1
15,1,1,0,1
