Runs,Games,Wins,Loss,W-L%
0,11,11,0,1
1,15,11,4,0.733
2,22,20,2,0.909
3,23,16,7,0.696
4,19,12,7,0.632
5,17,11,6,0.647
6,19,3,16,0.158
7,12,4,8,0.333
8,6,2,4,0.333
9,4,2,2,0.5
10,5,0,5,0
11,2,0,2,0
12,4,0,4,0
13,1,0,1,0
14,1,0,1,0
16,1,0,1,0
