Runs,Games,Wins,Loss,W-L%
0,8,0,8,0
1,13,0,13,0
2,24,1,23,0.042
3,12,6,6,0.5
4,24,10,14,0.417
5,14,10,4,0.714
6,14,12,2,0.857
7,12,9,3,0.75
8,6,4,2,0.667
9,12,12,0,1
10,6,4,2,0.667
11,6,5,1,0.833
12,3,3,0,1
13,1,1,0,1
14,4,3,1,0.75
15,2,2,0,1
17,1,1,0,1
