Runs,Games,Wins,Loss,W-L%
0,6,6,0,1
1,17,14,3,0.824
2,30,20,10,0.667
3,21,11,10,0.524
4,15,6,9,0.4
5,16,5,11,0.313
6,19,4,15,0.211
7,15,3,12,0.2
8,6,0,6,0
9,8,2,6,0.25
10,3,0,3,0
11,3,0,3,0
12,1,0,1,0
18,1,0,1,0
19,1,0,1,0
