Runs,Games,Wins,Loss,W-L%
0,8,8,0,1
1,12,11,1,0.917
2,14,11,3,0.786
3,16,14,2,0.875
4,19,12,7,0.632
5,16,7,9,0.438
6,18,5,13,0.278
7,17,5,12,0.294
8,9,2,7,0.222
9,8,0,8,0
10,8,1,7,0.125
11,8,0,8,0
12,2,0,2,0
13,2,0,2,0
14,3,0,3,0
15,1,0,1,0
17,1,0,1,0
