Runs,Games,Wins,Loss,W-L%
0,8,8,0,1
1,24,22,2,0.917
2,24,18,6,0.75
3,12,7,5,0.583
4,15,5,10,0.333
5,19,3,16,0.158
6,16,2,14,0.125
7,12,5,7,0.417
8,11,1,10,0.091
9,7,0,7,0
10,5,1,4,0.2
11,1,0,1,0
12,3,0,3,0
13,3,0,3,0
14,1,0,1,0
