Runs,Games,Wins,Loss,W-L%
0,9,9,0,1
1,17,16,1,0.941
2,25,20,5,0.8
3,21,18,3,0.857
4,23,13,10,0.565
5,22,12,10,0.545
6,12,3,9,0.25
7,7,1,6,0.143
8,8,0,8,0
9,4,0,4,0
10,3,0,3,0
11,6,0,6,0
12,3,0,3,0
13,1,0,1,0
17,1,0,1,0
