Runs,Games,Wins,Loss,W-L%
0,9,0,9,0
1,12,1,11,0.083
2,14,3,11,0.214
3,16,5,11,0.313
4,19,8,11,0.421
5,20,13,7,0.65
6,21,14,7,0.667
7,13,9,4,0.692
8,11,10,1,0.909
9,10,9,1,0.9
10,9,9,0,1
11,1,1,0,1
12,3,3,0,1
14,1,1,0,1
16,2,2,0,1
18,1,1,0,1
