Runs,Games,Wins,Loss,W-L%
0,10,10,0,1
1,11,11,0,1
2,20,18,2,0.9
3,21,12,9,0.571
4,18,8,10,0.444
5,18,6,12,0.333
6,13,6,7,0.462
7,17,5,12,0.294
8,9,1,8,0.111
9,5,0,5,0
10,5,0,5,0
11,7,1,6,0.143
12,2,0,2,0
13,1,0,1,0
14,2,0,2,0
15,2,0,2,0
18,1,0,1,0
