Runs,Games,Wins,Loss,W-L%
0,5,5,0,1
1,18,17,1,0.944
2,18,17,1,0.944
3,21,17,4,0.81
4,26,20,6,0.769
5,15,9,6,0.6
6,13,5,8,0.385
7,14,6,8,0.429
8,7,3,4,0.429
9,9,1,8,0.111
10,4,1,3,0.25
11,5,0,5,0
12,1,0,1,0
13,3,0,3,0
14,1,0,1,0
17,1,0,1,0
22,1,0,1,0
