Runs,Games,Wins,Loss,W-L%
0,13,0,13,0
1,16,1,15,0.063
2,25,1,24,0.04
3,24,4,20,0.167
4,22,7,15,0.318
5,14,7,7,0.5
6,10,5,5,0.5
7,13,9,4,0.692
8,5,5,0,1
9,4,3,1,0.75
10,8,8,0,1
11,2,2,0,1
12,2,2,0,1
13,1,1,0,1
15,1,1,0,1
17,1,1,0,1
26,1,1,0,1
