Runs,Games,Wins,Loss,W-L%
0,13,0,13,0
1,10,0,10,0
2,25,6,19,0.24
3,18,3,15,0.167
4,22,8,14,0.364
5,20,12,8,0.6
6,18,13,5,0.722
7,12,7,5,0.583
8,9,7,2,0.778
9,6,6,0,1
10,4,4,0,1
11,2,2,0,1
13,1,1,0,1
19,1,1,0,1
