Runs,Games,Wins,Loss,W-L%
0,6,0,6,0
1,14,1,13,0.071
2,16,2,14,0.125
3,20,6,14,0.3
4,20,8,12,0.4
5,22,13,9,0.591
6,14,10,4,0.714
7,11,7,4,0.636
8,11,8,3,0.727
9,11,9,2,0.818
10,6,6,0,1
11,4,3,1,0.75
13,1,1,0,1
14,3,3,0,1
15,1,1,0,1
18,1,1,0,1
22,1,1,0,1
