Runs,Games,Wins,Loss,W-L%
0,3,3,0,1
1,8,8,0,1
2,12,9,3,0.75
3,27,17,10,0.63
4,17,6,11,0.353
5,23,4,19,0.174
6,14,5,9,0.357
7,20,4,16,0.2
8,12,2,10,0.167
9,10,0,10,0
10,6,0,6,0
12,6,0,6,0
13,1,0,1,0
16,1,0,1,0
17,1,0,1,0
21,1,0,1,0
