Runs,Games,Wins,Loss,W-L%
0,4,0,4,0
1,12,4,8,0.333
2,15,6,9,0.4
3,15,3,12,0.2
4,24,17,7,0.708
5,28,18,10,0.643
6,18,14,4,0.778
7,12,10,2,0.833
8,7,6,1,0.857
9,6,6,0,1
10,10,10,0,1
11,5,5,0,1
12,3,3,0,1
13,3,3,0,1
