Runs,Games,Wins,Loss,W-L%
0,8,8,0,1
1,7,6,1,0.857
2,20,18,2,0.9
3,22,14,8,0.636
4,21,9,12,0.429
5,19,8,11,0.421
6,19,7,12,0.368
7,11,4,7,0.364
8,8,5,3,0.625
9,8,3,5,0.375
10,8,0,8,0
11,7,1,6,0.143
12,1,0,1,0
13,2,0,2,0
17,1,0,1,0
