Runs,Games,Wins,Loss,W-L%
0,8,0,8,0
1,20,2,18,0.1
2,22,8,14,0.364
3,25,9,16,0.36
4,27,12,15,0.444
5,16,7,9,0.438
6,14,12,2,0.857
7,8,3,5,0.375
8,9,8,1,0.889
9,2,2,0,1
10,1,1,0,1
11,4,3,1,0.75
13,2,2,0,1
14,2,2,0,1
15,1,1,0,1
