Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
147,147,12-Sep,,LAD,"L,1-8",32,31,1,5,1,1,1,1,1,0,11,0,0,0,0,0,0,1,0.259,0.333,0.409,0.743,4,17,R,R.Stripling (53)
148,148,14-Sep,@,CHC,"L,2-3",37,33,2,9,1,0,2,2,3,0,8,1,0,0,0,1,0,1,0.259,0.334,0.41,0.743,8,15,L,C.Hamels (55)
149,149,15-Sep,@,CHC,"L,0-1",31,29,0,4,0,0,0,0,2,0,10,0,0,0,0,1,2,1,0.258,0.333,0.408,0.741,4,16,L,J.Lester (80)
150,150,16-Sep,@,CHC,"W,2-1",38,34,2,6,1,0,2,2,4,1,11,0,0,0,1,0,0,0,0.258,0.332,0.408,0.74,9,13,L,J.Quintana (53)
151,151,17-Sep,@,MIL,"L,0-8",36,33,0,8,1,0,0,0,1,0,7,1,1,0,0,1,0,0,0.258,0.332,0.407,0.739,9,19,L,W.Miley (59)
152,152,18-Sep,@,MIL,"W,3-1",38,36,3,9,3,0,1,3,2,0,10,0,0,0,0,0,0,0,0.258,0.332,0.407,0.739,8,15,R,C.Anderson (40)
153,153,19-Sep,@,MIL,"L,0-7",32,28,0,2,0,0,0,0,4,0,9,0,0,0,0,1,1,0,0.257,0.331,0.405,0.736,5,16,L,G.Gonzalez (71)
154,154,20-Sep,@,MIA,"W,4-2",38,33,4,8,1,0,1,4,5,0,6,0,0,0,0,2,1,0,0.257,0.331,0.405,0.736,7,13,R,J.Brigham (55)
155,155,21-Sep,@,MIA,"L,0-1",34,33,0,3,2,0,0,0,1,0,11,0,0,0,0,0,0,0,0.256,0.33,0.404,0.733,4,11,L,W.Chen (79)
156,156,22-Sep,@,MIA,"L,1-5",34,32,1,6,0,0,1,1,1,0,2,1,0,0,0,0,0,1,0.255,0.329,0.403,0.732,6,15,R,J.Urena (64)
157,157,23-Sep,@,MIA,"L,0-6",31,30,0,4,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0.255,0.328,0.401,0.73,4,15,R,T.Richards (79)
158,158,25-Sep,,KCR,"L,3-4",39,36,3,9,0,1,1,3,3,1,7,0,0,0,0,0,1,0,0.254,0.328,0.401,0.729,9,15,L,E.Skoglund (56)
159,159,26-Sep,,KCR,"L,1-6",34,31,1,5,0,0,1,1,3,0,11,0,0,0,0,1,0,0,0.254,0.328,0.4,0.728,6,17,R,H.Fillmyer (73)
160,160,28-Sep,,PIT,"L,4-8",44,38,4,13,1,1,2,4,5,1,10,0,1,0,0,1,2,0,0.255,0.328,0.402,0.73,13,19,R,N.Kingham (41)
161,161,29-Sep,,PIT,"W,3-0",30,29,3,7,1,1,1,3,0,0,12,0,0,1,0,0,0,1,0.255,0.328,0.402,0.73,3,16,R,J.Taillon (53)
162,162,30-Sep,,PIT,"L,5-6",41,35,5,5,1,0,2,3,5,0,16,1,0,0,1,1,2,0,0.254,0.328,0.401,0.729,6,22,R,C.Holmes (45)
