Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
89,89,07-Jul,,ATL,"L,1-5",33,31,1,4,0,0,0,1,1,0,11,1,0,0,0,0,1,0,0.243,0.313,0.409,0.721,5,15,R,A.Sanchez (73)
90,90,08-Jul,,ATL,"W,10-3",43,33,10,10,1,0,4,10,9,0,6,0,0,1,0,0,2,0,0.244,0.314,0.412,0.726,9,15,L,S.Newcomb (30)
91,91,09-Jul,@,MIA,"L,3-4",42,38,3,11,1,1,1,3,4,2,9,0,0,0,0,1,2,1,0.245,0.315,0.412,0.727,9,17,R,J.Urena (50)
92,92,10-Jul,@,MIA,"W,8-4",39,35,8,9,4,0,1,8,3,1,10,1,0,0,1,0,1,1,0.245,0.315,0.413,0.728,4,15,R,P.Lopez (43)
93,93,11-Jul,@,MIA,"L,4-5",50,42,4,8,3,0,0,4,7,0,17,1,0,0,0,0,0,2,0.244,0.315,0.411,0.726,10,18,R,D.Straily (63)
94,94,12-Jul,@,PIT,"L,3-6",40,36,3,9,0,0,1,3,4,0,13,0,0,0,1,1,1,0,0.244,0.315,0.41,0.725,10,13,R,J.Taillon (68)
95,95,13-Jul,@,PIT,"L,3-7",36,35,3,9,0,0,2,3,1,0,10,0,0,0,0,1,2,0,0.244,0.315,0.41,0.725,6,14,R,N.Kingham (59)
96,96,Jul 14 (1),@,PIT,"L,1-2",35,34,1,9,1,0,0,1,1,0,8,0,0,0,0,0,1,1,0.244,0.314,0.409,0.724,7,14,R,I.Nova (49)
97,97,Jul 14 (2),@,PIT,"L,2-6",40,34,2,9,1,0,0,2,6,0,13,0,0,0,0,1,1,0,0.245,0.315,0.408,0.723,11,14,R,C.Holmes (68)
98,98,15-Jul,@,PIT,"L,6-7",44,36,6,9,1,1,1,6,6,0,6,1,1,0,1,2,0,1,0.245,0.316,0.408,0.724,8,17,R,J.Musgrove (46)
99,99,20-Jul,,LAD,"L,4-6",39,34,4,9,2,1,1,4,5,0,14,0,0,0,0,0,1,0,0.245,0.316,0.409,0.725,8,14,L,R.Hill (63)
100,100,21-Jul,,LAD,"W,4-2",33,32,4,7,1,1,1,3,0,0,6,0,0,0,2,1,0,0,0.245,0.315,0.409,0.724,5,16,L,C.Kershaw (53)
101,101,22-Jul,,LAD,"L,2-11",38,34,2,6,0,0,0,2,4,0,8,0,0,0,2,1,0,0,0.244,0.315,0.406,0.721,9,16,L,A.Wood (55)
102,102,23-Jul,,WSN,"W,6-1",36,29,6,7,1,1,0,6,6,0,8,0,0,1,0,1,1,0,0.244,0.315,0.406,0.721,6,16,L,G.Gonzalez (37)
103,103,24-Jul,,WSN,"W,5-4",42,37,5,12,3,0,1,5,3,1,7,1,0,1,0,2,0,0,0.245,0.316,0.407,0.723,8,16,R,J.Hellickson (43)
104,104,25-Jul,,WSN,"L,3-7",35,34,3,7,1,0,1,3,1,0,12,0,0,0,0,0,0,0,0.244,0.315,0.406,0.721,5,13,R,T.Roark (86)
105,105,26-Jul,@,SFG,"W,7-5",44,40,7,13,4,1,2,7,4,0,10,0,0,0,0,0,1,0,0.245,0.316,0.408,0.724,10,16,R,D.Rodriguez (57)
106,106,27-Jul,@,SFG,"W,3-1",35,33,3,6,3,0,0,3,1,0,5,0,1,0,1,0,1,0,0.245,0.315,0.407,0.722,5,14,L,M.Bumgarner (64)
107,107,28-Jul,@,SFG,"W,7-1",40,36,7,14,1,0,1,6,2,0,5,0,2,0,1,2,1,1,0.246,0.316,0.408,0.724,6,12,R,J.Cueto (30)
108,108,29-Jul,@,SFG,"L,5-8",37,36,5,11,1,0,3,5,1,0,6,0,0,0,0,1,0,0,0.247,0.316,0.41,0.726,5,16,L,A.Suarez (43)
109,109,30-Jul,@,LAD,"W,5-2",40,37,5,10,1,1,1,5,3,0,9,0,0,0,0,0,0,0,0.247,0.316,0.41,0.726,8,15,R,K.Maeda (35)
110,110,31-Jul,@,LAD,"W,1-0",32,32,1,6,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0.247,0.315,0.408,0.724,4,13,R,W.Buehler (70)
111,111,01-Aug,@,LAD,"L,4-6",43,38,4,10,3,1,0,2,5,1,7,0,0,0,0,2,1,0,0.247,0.316,0.408,0.724,9,18,L,R.Hill (57)
112,112,02-Aug,@,LAD,"L,5-21",39,36,5,9,3,0,2,4,3,0,10,0,0,0,0,0,0,0,0.247,0.316,0.409,0.725,7,15,L,C.Kershaw (59)
113,113,03-Aug,,COL,"W,5-3",34,30,5,4,0,0,2,5,4,0,10,0,0,0,0,0,0,0,0.246,0.315,0.408,0.723,3,13,R,G.Marquez (70)
114,114,04-Aug,,COL,"W,8-4",37,31,8,10,2,1,3,8,4,0,7,1,0,1,0,0,0,0,0.246,0.316,0.411,0.727,5,16,L,T.Anderson (21)
115,115,05-Aug,,COL,"L,4-5",43,40,4,9,1,0,2,3,2,0,11,0,0,0,0,3,3,0,0.246,0.315,0.411,0.726,6,17,R,J.Gray (76)
116,116,07-Aug,,SDP,"L,5-11",39,33,5,8,2,0,2,5,5,0,8,0,0,1,0,0,0,0,0.246,0.315,0.412,0.727,7,15,L,C.Richard (34)
117,117,08-Aug,,SDP,"W,8-4",38,35,8,14,0,0,5,8,0,0,8,0,2,1,0,0,1,0,0.248,0.316,0.415,0.731,6,14,R,B.Kennedy (19)
118,118,09-Aug,,SDP,"L,4-8",37,36,4,10,2,0,0,3,1,0,11,0,0,0,0,0,2,1,0.248,0.316,0.415,0.73,6,16,L,R.Erlin (43)
119,119,10-Aug,@,ATL,"L,1-10",33,33,1,6,2,0,0,1,0,0,9,0,0,0,0,0,0,0,0.247,0.315,0.413,0.728,5,14,R,K.Gausman (74)
120,120,11-Aug,@,ATL,"W,4-2",39,34,4,7,1,0,0,4,3,0,10,2,0,0,1,0,1,1,0.247,0.315,0.412,0.726,8,14,R,J.Teheran (68)
121,121,12-Aug,@,ATL,"L,7-8",47,43,7,19,4,0,1,7,4,1,8,0,0,0,1,2,0,2,0.249,0.317,0.414,0.73,13,16,L,S.Newcomb (18)
122,122,14-Aug,@,CHC,"W,7-0",39,37,7,11,1,0,4,7,1,0,12,1,0,0,0,1,0,0,0.249,0.317,0.416,0.732,5,12,L,J.Quintana (39)
123,123,15-Aug,@,CHC,"L,4-8",40,36,4,9,2,0,0,4,3,0,10,1,0,0,1,1,0,0,0.249,0.317,0.415,0.732,9,17,R,K.Hendricks (48)
124,124,17-Aug,@,STL,"L,2-5",37,32,2,7,1,0,0,2,5,0,8,0,0,0,0,2,1,0,0.249,0.317,0.414,0.73,8,14,R,J.Flaherty (70)
125,125,18-Aug,@,STL,"L,2-7",34,33,2,6,2,0,2,2,0,0,11,1,0,0,0,0,0,0,0.249,0.316,0.414,0.73,5,14,R,M.Mikolas (65)
126,126,19-Aug,@,STL,"W,2-1",36,29,2,6,1,0,0,2,6,1,3,0,1,0,0,2,2,0,0.248,0.316,0.412,0.729,7,15,R,J.Gant (42)
127,127,20-Aug,,CIN,"W,5-2",38,34,5,12,0,1,2,5,2,0,5,1,0,1,0,1,2,0,0.249,0.317,0.414,0.731,9,14,R,H.Bailey (48)
128,128,21-Aug,,CIN,"L,7-9",43,40,7,13,2,0,2,7,3,1,10,0,0,0,0,0,2,0,0.25,0.317,0.415,0.732,9,17,R,S.Romano (36)
129,129,22-Aug,,CIN,"W,4-0",40,34,4,14,4,0,1,4,5,1,5,0,1,0,0,2,0,1,0.251,0.319,0.416,0.735,12,13,R,R.Stephenson (34)
130,130,24-Aug,,PIT,"W,7-6",62,54,7,13,1,0,2,7,7,0,16,1,0,0,0,3,0,0,0.251,0.319,0.416,0.735,11,21,R,J.Musgrove (38)
131,131,25-Aug,,PIT,"L,1-9",33,33,1,6,1,0,1,1,0,0,11,0,0,0,0,0,0,0,0.251,0.318,0.415,0.733,5,13,R,J.Taillon (66)
132,132,26-Aug,,PIT,"W,7-4",35,30,7,8,2,1,3,7,2,1,8,1,1,1,1,0,1,1,0.251,0.318,0.417,0.735,4,15,R,C.Archer (27)
