Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
47,47,22-May,@,CIN,"L,2-7",37,32,2,6,0,0,2,2,5,0,6,0,0,0,0,1,0,0,0.258,0.332,0.426,0.758,8,13,R,M.Harvey (65)
48,48,23-May,@,CIN,"W,5-4",56,50,5,15,2,1,1,5,6,0,7,0,0,0,0,1,0,0,0.259,0.333,0.427,0.76,15,18,R,H.Bailey (31)
49,49,24-May,@,CIN,"L,4-5",35,33,4,7,1,0,2,4,2,0,10,0,0,0,0,1,0,0,0.258,0.332,0.427,0.758,4,14,R,L.Castillo (59)
50,50,25-May,,STL,"W,8-1",38,35,8,12,2,3,0,8,1,0,9,1,0,1,0,0,1,0,0.26,0.332,0.43,0.762,6,13,R,J.Gant (55)
51,51,26-May,,STL,"L,1-4",34,32,1,6,1,0,1,1,2,0,6,0,0,0,0,1,0,0,0.259,0.331,0.427,0.758,6,15,R,J.Flaherty (62)
52,52,27-May,,STL,"L,4-6",33,31,4,5,0,1,0,4,1,0,7,0,0,1,0,0,1,0,0.257,0.328,0.424,0.752,2,15,R,M.Mikolas (50)
53,53,28-May,,CHC,"L,0-7",28,28,0,2,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0.254,0.325,0.418,0.743,1,14,L,M.Montgomery (70)
54,54,29-May,,CHC,"L,6-8",41,40,6,13,4,0,2,6,0,0,8,1,0,0,0,0,0,0,0.256,0.325,0.422,0.747,8,17,L,J.Lester (46)
55,55,30-May,,CHC,"W,2-1",34,29,2,9,0,1,1,2,3,1,3,0,1,1,0,1,0,0,0.257,0.326,0.423,0.748,8,12,R,K.Hendricks (45)
56,56,31-May,@,STL,"L,8-10",42,37,8,12,2,0,2,8,3,0,8,1,1,0,0,1,0,0,0.258,0.327,0.425,0.752,7,15,R,J.Flaherty (44)
57,57,01-Jun,@,STL,"W,4-0",39,34,4,9,3,2,0,4,2,0,6,1,0,2,1,0,0,0,0.258,0.326,0.426,0.752,8,12,R,M.Mikolas (55)
58,58,02-Jun,@,STL,"L,2-3",32,30,2,5,0,0,2,2,1,0,9,0,1,0,0,1,0,0,0.257,0.325,0.425,0.75,3,14,R,L.Weaver (59)
59,59,03-Jun,@,STL,"L,0-5",31,29,0,2,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0.254,0.322,0.42,0.742,4,14,R,M.Wacha (86)
60,60,05-Jun,,LAD,"L,0-5",34,33,0,7,0,0,0,0,1,0,8,0,0,0,1,0,0,1,0.253,0.321,0.416,0.737,7,14,R,R.Stripling (66)
61,61,06-Jun,,LAD,"W,11-9",45,32,11,10,3,0,0,10,10,1,5,3,0,0,1,1,2,0,0.254,0.324,0.416,0.741,10,17,L,C.Ferguson (35)
62,62,07-Jun,,LAD,"L,7-8",40,34,7,9,1,0,2,7,2,0,8,1,1,2,1,0,1,0,0.254,0.324,0.417,0.741,6,15,R,D.Hudson (54)
63,63,08-Jun,@,CHC,"L,1-3",37,33,1,9,2,0,0,1,2,0,4,1,0,1,0,1,0,1,0.255,0.324,0.416,0.74,9,13,L,M.Montgomery (54)
64,64,09-Jun,@,CHC,"L,0-2",30,28,0,1,0,1,0,0,2,0,8,0,0,0,0,0,0,0,0.252,0.321,0.412,0.733,3,13,L,J.Lester (78)
65,65,10-Jun,@,CHC,"W,7-1",41,35,7,9,1,1,1,7,6,0,8,0,0,0,0,1,1,0,0.252,0.322,0.412,0.734,7,13,R,K.Hendricks (59)
66,66,11-Jun,@,ARI,"L,5-9",39,33,5,9,3,0,0,5,4,1,6,2,0,0,0,2,0,0,0.252,0.323,0.411,0.734,7,14,L,P.Corbin (36)
67,67,12-Jun,@,ARI,"L,8-13",43,36,8,12,6,0,1,8,4,0,7,1,0,1,0,2,0,0,0.254,0.324,0.414,0.738,8,14,R,C.Buchholz (26)
68,68,13-Jun,@,ARI,"W,5-4",37,32,5,6,3,0,1,5,5,0,11,0,0,0,0,1,0,0,0.253,0.324,0.414,0.738,5,12,R,Z.Greinke (37)
69,69,15-Jun,,CIN,"W,3-2",32,26,3,6,0,0,0,2,3,0,4,1,0,2,0,1,0,1,0.252,0.324,0.412,0.735,5,14,R,M.Harvey (47)
