Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
80,80,29-Jun,,MIN,"W,10-6",42,34,10,12,1,0,4,10,6,0,6,1,1,0,0,1,0,0,0.261,0.341,0.423,0.763,8,18,R,J.Berrios (25)
81,81,30-Jun,,MIN,"W,14-9",49,38,14,20,3,0,0,14,7,2,5,0,1,3,0,1,0,0,0.265,0.344,0.425,0.769,11,17,L,A.Mejia (32)
82,82,01-Jul,,MIN,"W,11-10",45,38,11,14,4,1,2,11,6,1,7,0,0,1,1,0,1,0,0.266,0.345,0.429,0.774,10,14,R,L.Lynn (15)
83,83,03-Jul,,DET,"W,5-3",37,33,5,11,4,0,1,5,4,0,7,0,0,0,0,0,0,1,0.267,0.346,0.43,0.776,8,16,R,M.Fulmer (48)
84,84,04-Jul,,DET,"W,5-2",36,30,5,7,2,0,2,4,6,0,7,0,0,0,0,1,3,0,0.266,0.346,0.431,0.777,7,14,L,F.Liriano (50)
85,85,06-Jul,,CIN,"L,2-3",38,33,2,8,1,0,0,2,3,1,5,0,0,1,0,1,1,0,0.266,0.346,0.429,0.775,9,16,R,T.Mahle (62)
86,86,07-Jul,,CIN,"W,8-7",41,37,8,13,3,0,1,8,3,0,8,1,0,0,0,0,1,0,0.267,0.347,0.43,0.776,9,13,R,M.Harvey (44)
87,87,08-Jul,,CIN,"W,6-5",45,38,6,11,3,0,0,6,6,1,9,0,1,0,1,1,0,0,0.268,0.347,0.429,0.776,11,18,R,L.Castillo (39)
88,88,09-Jul,@,SFG,"L,1-2",41,36,1,4,3,0,0,1,5,0,9,0,0,0,0,1,1,0,0.266,0.346,0.426,0.772,7,14,L,A.Suarez (63)
89,89,10-Jul,@,SFG,"W,2-0",33,31,2,6,3,0,0,1,2,0,12,0,0,0,0,0,0,2,0.265,0.345,0.425,0.77,4,15,L,D.Holland (67)
90,90,11-Jul,@,SFG,"L,4-5",57,50,4,11,0,0,3,4,6,0,16,1,0,0,0,0,0,0,0.264,0.344,0.425,0.769,14,19,R,J.Cueto (47)
91,91,13-Jul,@,SDP,"W,5-4",42,35,5,9,4,0,0,4,5,0,7,1,1,0,0,2,1,1,0.264,0.344,0.424,0.768,7,18,L,C.Richard (49)
92,92,14-Jul,@,SDP,"W,11-6",43,40,11,13,3,0,3,11,3,1,10,0,0,0,0,0,1,0,0.265,0.345,0.427,0.771,5,16,R,L.Perdomo (33)
93,93,15-Jul,@,SDP,"W,7-4",42,35,7,10,2,0,0,7,3,1,11,3,0,1,0,0,1,0,0.265,0.345,0.426,0.771,8,14,L,E.Lauer (28)
94,94,19-Jul,,STL,"W,9-6",40,36,9,13,3,0,1,9,2,1,5,0,1,1,2,0,1,1,0.266,0.345,0.427,0.772,7,18,R,C.Martinez (32)
95,95,20-Jul,,STL,"L,5-18",44,35,5,10,1,0,2,5,7,0,14,2,0,0,1,3,0,0,0.266,0.346,0.427,0.774,12,15,R,J.Flaherty (64)
96,96,Jul 21 (1),,STL,"W,7-2",41,29,7,11,1,1,0,6,8,2,4,0,2,2,0,1,1,0,0.267,0.348,0.428,0.776,10,15,R,L.Weaver (33)
97,97,Jul 21 (2),,STL,"L,3-6",41,34,3,7,0,0,0,3,7,0,3,0,0,0,1,1,1,0,0.267,0.348,0.426,0.774,11,17,R,J.Gant (58)
98,98,22-Jul,,STL,"W,7-2",40,33,7,12,1,0,1,7,5,1,8,1,1,0,0,1,1,1,0.268,0.349,0.426,0.775,9,13,R,M.Mikolas (51)
99,99,23-Jul,,ARI,"L,1-7",32,32,1,7,1,0,0,1,0,0,10,0,0,0,0,1,0,0,0.267,0.348,0.425,0.773,4,13,L,P.Corbin (70)
100,100,24-Jul,,ARI,"L,1-5",35,32,1,6,0,0,1,1,3,0,11,0,0,0,0,1,0,0,0.267,0.347,0.423,0.77,7,15,R,C.Buchholz (61)
101,101,25-Jul,,ARI,"W,2-1",28,25,2,4,2,0,0,1,3,0,6,0,0,0,1,3,0,0,0.266,0.346,0.422,0.768,2,14,L,R.Ray (70)
102,102,26-Jul,,ARI,"W,7-6",37,34,7,9,1,0,2,6,2,0,8,1,0,0,1,1,0,1,0.266,0.346,0.422,0.769,5,17,R,Z.Godley (44)
103,103,27-Jul,@,STL,"L,2-5",34,34,2,8,1,0,2,2,0,0,8,0,0,0,0,0,0,0,0.265,0.345,0.423,0.768,5,12,R,L.Weaver (53)
104,104,28-Jul,@,STL,"L,2-6",33,31,2,7,0,0,1,2,2,0,5,0,0,0,0,3,0,0,0.265,0.345,0.422,0.767,4,14,R,M.Mikolas (53)
105,105,29-Jul,@,STL,"W,5-2",39,36,5,10,3,0,2,4,3,0,7,0,0,0,1,1,0,0,0.265,0.345,0.423,0.767,7,12,R,J.Gant (47)
106,106,31-Jul,@,PIT,"L,4-5",38,32,4,9,4,0,1,4,4,0,4,1,1,0,0,2,0,0,0.265,0.345,0.424,0.768,7,14,R,J.Taillon (48)
107,107,01-Aug,@,PIT,"W,9-2",49,40,9,15,5,0,1,8,7,1,5,2,0,0,1,1,0,1,0.267,0.347,0.425,0.772,13,15,R,N.Kingham (35)
108,108,02-Aug,,SDP,"L,1-6",32,30,1,3,0,0,0,1,1,0,8,1,0,0,0,0,0,0,0.265,0.345,0.423,0.768,4,13,L,R.Erlin (62)
109,109,03-Aug,,SDP,"W,5-4",36,32,5,10,0,1,2,5,2,1,4,0,0,2,0,0,0,0,0.266,0.345,0.424,0.769,7,17,R,T.Ross (43)
110,110,04-Aug,,SDP,"W,5-4",38,35,5,11,3,0,2,5,2,1,10,1,0,0,0,0,0,0,0.266,0.345,0.425,0.77,9,15,R,W.Lockett (33)
111,111,05-Aug,,SDP,"L,6-10",39,37,6,12,2,0,2,5,1,0,14,0,0,0,0,0,0,1,0.267,0.345,0.426,0.771,6,16,L,J.Lucchesi (54)
112,112,06-Aug,@,KCR,"W,3-1",38,34,3,9,1,1,1,2,4,1,12,0,0,0,0,1,0,0,0.267,0.345,0.426,0.772,8,10,R,J.Junis (59)
113,113,07-Aug,@,KCR,"W,5-0",39,32,5,9,1,1,0,5,5,0,5,0,0,2,0,1,0,1,0.267,0.345,0.426,0.771,7,10,R,B.Keller (43)
114,114,08-Aug,@,KCR,"L,0-9",31,29,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0.266,0.344,0.424,0.768,4,11,R,H.Fillmyer (72)
115,115,10-Aug,,WSN,"W,3-2",33,27,3,4,0,0,0,3,6,0,5,0,0,0,0,0,0,1,0.265,0.344,0.422,0.765,6,17,R,J.Hellickson (60)
116,116,11-Aug,,WSN,"L,4-9",39,35,4,11,1,0,0,4,2,0,8,1,0,1,0,0,0,1,0.265,0.344,0.421,0.765,8,16,R,T.Roark (59)
117,117,12-Aug,,WSN,"W,4-3",35,32,4,6,1,0,1,4,1,1,11,2,0,0,0,0,0,0,0.265,0.343,0.42,0.763,5,15,R,M.Scherzer (81)
118,118,14-Aug,,MIL,"L,0-7",32,30,0,3,3,0,0,0,2,0,12,0,0,0,0,0,0,0,0.263,0.342,0.419,0.76,5,14,R,J.Chacin (79)
119,119,15-Aug,,MIL,"W,8-4",41,36,8,13,2,1,2,7,4,1,7,0,1,0,1,1,2,0,0.264,0.343,0.42,0.763,9,14,R,J.Guerra (18)
